# c_e/f_a |Umu4|^2
1.03346757e-3 3.31096931e-9
9.96829059e-4 3.52849138e-9
1.08956558e-3 3.02437007e-9
1.13772154e-3 9.44024842e-7
1.14870866e-3 2.76076934e-9
1.19947860e-3 8.57881247e-7
1.21106211e-3 2.53007167e-9
1.26458791e-3 7.68943874e-7
1.27680019e-3 2.31865176e-9
1.33323144e-3 6.90626068e-7
1.34610662e-3 2.12908001e-9
1.40560104e-3 6.15042659e-7
1.41917510e-3 1.96142345e-9
1.48189895e-3 5.50266606e-7
1.49620983e-3 1.80460258e-9
1.56233842e-3 4.94216187e-7
1.57742611e-3 1.66686066e-9
1.64714425e-3 4.41164066e-7
1.66305092e-3 1.54165142e-9
1.73655345e-3 3.93987146e-7
1.75332356e-3 1.42771739e-9
1.83081591e-3 3.51125838e-7
1.84849632e-3 1.32480532e-9
1.93019506e-3 3.14419993e-7
1.94883519e-3 1.23253772e-9
2.03496864e-3 2.80232173e-7
2.05462058e-3 1.14669621e-9
2.14542947e-3 2.49297762e-7
2.16614815e-3 1.07244051e-9
2.26188627e-3 2.22049367e-7
2.28372958e-3 1.00167971e-9
2.38466450e-3 1.98211198e-7
2.40769349e-3 9.38043294e-10
2.51410729e-3 1.76451133e-7
2.53838633e-3 8.80755226e-10
2.65057642e-3 1.56292773e-7
2.67617336e-3 8.27507921e-10
2.79445327e-3 1.38756322e-7
2.82143965e-3 7.79009663e-10
2.94613995e-3 1.23131781e-7
2.97459118e-3 7.34315509e-10
3.10606039e-3 1.09001008e-7
3.13605599e-3 6.94457194e-10
3.27466152e-3 9.69234255e-8
3.30628533e-3 6.55902206e-10
3.45241455e-3 8.58351714e-8
3.48575494e-3 6.21113604e-10
3.63981626e-3 7.59490518e-8
3.67496641e-3 5.89327554e-10
3.83739038e-3 6.70811058e-8
3.87444852e-3 5.59168184e-10
4.04568908e-3 5.92217955e-8
4.08475880e-3 5.31248024e-10
4.26529453e-3 5.23428739e-8
4.30648500e-3 5.05715143e-10
4.49682045e-3 4.63970613e-8
4.54024679e-3 4.81094069e-10
4.74091391e-3 4.06932704e-8
4.78669749e-3 4.58572285e-10
4.99825709e-3 3.59435342e-8
5.04652587e-3 4.37964953e-10
5.26956920e-3 3.15196765e-8
5.32045808e-3 4.17735846e-10
5.60925969e-3 3.98963623e-10
5.76179392e-3 2.53714821e-8
5.91373785e-3 3.81534684e-10
6.03517205e-3 2.25355177e-8
6.23474349e-3 3.65106306e-10
6.35574430e-3 1.97092835e-8
6.57317375e-3 3.49385312e-10
6.70074265e-3 1.72751473e-8
6.92997446e-3 3.34560403e-10
7.06446797e-3 1.51118950e-8
7.30614279e-3 3.21205353e-10
7.44793679e-3 1.32368688e-8
7.70273005e-3 3.07576159e-10
7.85222081e-3 1.15641379e-8
8.12084459e-3 2.95491838e-10
8.27844991e-3 1.00961705e-8
8.56165495e-3 2.84627363e-10
8.72781530e-3 8.81454885e-9
9.02639309e-3 2.73803275e-10
9.13548553e-3 7.82989445e-9
9.56794325e-3 2.62590836e-10
9.70104660e-3 6.67047069e-9
1.00329185e-2 2.54372483e-10
1.02276325e-2 5.79326258e-9
1.05775189e-2 2.45662931e-10
1.07828021e-2 5.02482309e-9
1.11516808e-2 2.37407106e-10
1.13681071e-2 4.34690350e-9
1.17570090e-2 2.30332546e-10
1.19851832e-2 3.76044484e-9
1.23951953e-2 2.23615286e-10
1.26357551e-2 3.24671891e-9
1.30680231e-2 2.17663700e-10
1.33216409e-2 2.78121869e-9
1.37773730e-2 2.12287431e-10
1.40447574e-2 2.39498207e-9
1.45252273e-2 2.07723428e-10
1.48071257e-2 2.04757096e-9
1.53136762e-2 2.04058265e-10
1.55734133e-2 1.75492773e-9
1.61449231e-2 2.01511381e-10
1.63793571e-2 1.49958270e-9
1.70212913e-2 1.99518563e-10
1.72270096e-2 1.27310497e-9
1.79452299e-2 1.99235462e-10
1.80316713e-2 1.09530794e-9
1.88286243e-2 9.39858761e-10
1.89193211e-2 2.01181444e-10
1.96136184e-2 8.09387191e-10
1.99462872e-2 2.05422090e-10
2.03823086e-2 6.94384544e-10
2.10289985e-2 2.14477756e-10
2.11302944e-2 5.95112014e-10
2.18007164e-2 5.10168346e-10
2.21704808e-2 2.36604231e-10
2.23845839e-2 4.32724515e-10
2.28068322e-2 3.68958327e-10
2.30270806e-2 2.86913702e-10
